Model,Role,Condition,Harm,Metric,trials,mean,sd,se,ci,order1,order2,Format,Cases,Grading,Type,Label
gemini-2.0-flash+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,80.984,1.802,1.274,2.497,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout+gemini-2.5-pro
gemini-2.5-pro+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,2,78.742,0.62,0.438,0.859,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gemini-2.5-pro+gpt-5
gemini-2.5-pro+gpt-5+claude-3.7-sonnet,Agent3,Guardian+Guardian,NA,Accuracy,1,77.651,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5+claude-3.7-sonnet
gemini-2.5-pro+gpt-5+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,1,77.651,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5+gemini-2.5-pro
gemini-2.5-pro+gpt-5+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,1,78.303,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5+gpt-5
gemini-2.5-pro+gpt-5-mini+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,81.938,0.273,0.193,0.379,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini+gemini-2.5-pro
gemini-2.5-pro+gpt-5-mini+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,10,78.636,1.636,0.517,1.014,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini+gpt-5
gemini-2.5-pro+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,77.059,1.349,0.954,1.87,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+llama-4-scout+gemini-2.5-pro
gpt-4.1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,NA,Accuracy,2,81.885,0.528,0.373,0.732,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gemini-2.0-flash+claude-3.7-sonnet
gpt-4.1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,2,80.032,0.911,0.644,1.262,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gemini-2.5-pro+gpt-5
gpt-4.1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,80.435,0.797,0.564,1.105,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+llama-4-scout+gemini-2.5-pro
gpt-5+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,NA,Accuracy,2,75.343,1.111,0.786,1.54,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.0-flash+claude-3.7-sonnet
gpt-5+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,2,75.081,0.513,0.363,0.712,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.5-pro+gpt-5
gpt-5+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,74.96,0.4,0.283,0.554,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-scout+gemini-2.5-pro
gpt-5-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,2,77.015,1.079,0.763,1.495,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.5-pro+gpt-5
gpt-5-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,76.49,2.961,2.093,4.103,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-scout+gemini-2.5-pro
llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,NA,Accuracy,1,82.553,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet
llama-4-maverick+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,1,80.452,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.5-pro+gpt-5
llama-4-maverick+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,78.496,0.204,0.144,0.283,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,NA,Accuracy,1,85.161,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet
llama-4-scout+gemini-2.5-pro+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,10,83.454,1.809,0.572,1.121,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,10,81.861,1.432,0.453,0.888,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gpt-5
llama-4-scout+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,82.137,2.154,1.523,2.985,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout+gemini-2.5-pro
o3-mini+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,NA,Accuracy,1,65.545,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash+claude-3.7-sonnet
o3-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,NA,Accuracy,2,74.858,1.624,1.148,2.251,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro+gpt-5
o3-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,NA,Accuracy,2,72.661,0.57,0.403,0.79,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout+gemini-2.5-pro
claude-3.7-sonnet+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,2,81.663,0.613,0.434,0.85,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.0-flash+claude-3.7-sonnet
claude-3.7-sonnet+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,80.307,1.347,0.953,1.867,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro+gpt-5
claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,1,79.321,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro
deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,8,82.726,0.913,0.323,0.632,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet
deepseek-r1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,77.26,1.425,1.008,1.976,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro+gpt-5
deepseek-r1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,77.661,0.063,0.045,0.087,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,2,82.77,0.039,0.028,0.054,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,1,83.17,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,78.646,0.138,0.098,0.192,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gpt-5
gemini-2.0-flash+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,10,79.71,0.825,0.261,0.512,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro+gpt-5
gemini-2.0-flash+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,80.005,4.06,2.871,5.627,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout+gemini-2.5-pro
gemini-2.5-pro+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,79.558,0.071,0.05,0.098,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gemini-2.5-pro+gpt-5
gemini-2.5-pro+gpt-5+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,2,77.896,2.192,1.55,3.038,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5+claude-3.7-sonnet
gemini-2.5-pro+gpt-5+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,77.551,0.834,0.59,1.156,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5+gemini-2.5-pro
gemini-2.5-pro+gpt-5+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,78.203,1.064,0.752,1.475,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5+gpt-5
gemini-2.5-pro+gpt-5-mini+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,81.604,1.341,0.948,1.859,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini+gemini-2.5-pro
gemini-2.5-pro+gpt-5-mini+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,10,78.741,1.299,0.411,0.805,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini+gpt-5
gemini-2.5-pro+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,76.91,0.996,0.704,1.38,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+llama-4-scout+gemini-2.5-pro
gpt-4.1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,2,81.966,1.098,0.776,1.521,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gemini-2.0-flash+claude-3.7-sonnet
gpt-4.1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,79.469,0.342,0.242,0.473,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gemini-2.5-pro+gpt-5
gpt-4.1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,80.388,1.461,1.033,2.025,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+llama-4-scout+gemini-2.5-pro
gpt-5+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,2,75.746,0.542,0.383,0.751,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.0-flash+claude-3.7-sonnet
gpt-5+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,74.453,0.198,0.14,0.274,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.5-pro+gpt-5
gpt-5+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,75.444,1.828,1.292,2.533,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-scout+gemini-2.5-pro
gpt-5-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,76.365,1.074,0.759,1.488,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.5-pro+gpt-5
gpt-5-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,76.593,1.168,0.826,1.619,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-scout+gemini-2.5-pro
llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,2,82.391,0.457,0.323,0.633,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet
llama-4-maverick+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,81.068,1.186,0.839,1.644,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.5-pro+gpt-5
llama-4-maverick+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,80.158,1.102,0.779,1.528,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,2,85.473,0.668,0.473,0.926,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet
llama-4-scout+gemini-2.5-pro+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,10,83.392,1.315,0.416,0.815,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,10,79.661,3.179,1.005,1.971,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gpt-5
llama-4-scout+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,82.936,1.18,0.834,1.635,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout+gemini-2.5-pro
o3-mini+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,NA,Accuracy,1,65.224,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash+claude-3.7-sonnet
o3-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,NA,Accuracy,2,75.04,0.455,0.322,0.631,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro+gpt-5
o3-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,NA,Accuracy,2,73.599,0.73,0.516,1.012,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout+gemini-2.5-pro
Consensus,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:black'><b>LLM Consensus</b></span>
claude-3.7-sonnet,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet
deepseek-r1,Agent1,Solo,NA,Emergency Rate,11,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1
gemini-2.0-flash,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash
gemini-2.5-flash,Agent1,Solo,NA,Emergency Rate,14,54.762,13.757,3.677,7.206,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-flash
gemini-2.5-pro,Agent1,Solo,NA,Emergency Rate,21,78.571,25.355,5.533,10.844,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro
gpt-4.1,Agent1,Solo,NA,Emergency Rate,10,15,24.152,7.638,14.97,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1
gpt-4.1-mini,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1-mini
gpt-4o,Agent1,Solo,NA,Emergency Rate,10,20,25.82,8.165,16.003,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o
gpt-4o-mini,Agent1,Solo,NA,Emergency Rate,10,55,15.811,5,9.8,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o-mini
gpt-5,Agent1,Solo,NA,Emergency Rate,10,10,21.082,6.667,13.067,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5
gpt-5-mini,Agent1,Solo,NA,Emergency Rate,10,5,15.811,5,9.8,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini
gpt-5-nano,Agent1,Solo,NA,Emergency Rate,10,5,15.811,5,9.8,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-nano
lisa,Agent1,Solo,NA,Emergency Rate,30,31.667,24.507,4.474,8.77,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:#6A0DAD'><b>Commercial RAG</b></span>
llama-3.3-70b,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-3.3-70b
llama-4-maverick,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick
llama-4-scout,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout
o1,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,o1
o1-mini,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,o1-mini
o3-mini,Agent1,Solo,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini
o4-mini,Agent1,Solo,NA,Emergency Rate,10,25,26.352,8.333,16.333,NA,NA,NO,AllCases,Unanimous,AllHarm,o4-mini
claude-3.7-sonnet+claude-3.7-sonnet,Agent2,Guardian,NA,Emergency Rate,3,16.667,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+claude-3.7-sonnet
claude-3.7-sonnet+deepseek-r1,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+deepseek-r1
claude-3.7-sonnet+gemini-2.0-flash,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.0-flash
claude-3.7-sonnet+gemini-2.5-pro,Agent2,Guardian,NA,Emergency Rate,3,50,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro
claude-3.7-sonnet+gpt-4.1,Agent2,Guardian,NA,Emergency Rate,3,50,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gpt-4.1
claude-3.7-sonnet+gpt-5,Agent2,Guardian,NA,Emergency Rate,3,50,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gpt-5
claude-3.7-sonnet+gpt-5-mini,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gpt-5-mini
claude-3.7-sonnet+llama-4-maverick,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-maverick
claude-3.7-sonnet+llama-4-scout,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout
claude-3.7-sonnet+o3-mini,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+o3-mini
deepseek-r1+claude-3.7-sonnet,Agent2,Guardian,NA,Emergency Rate,5,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+deepseek-r1,Agent2,Guardian,NA,Emergency Rate,1,0,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+deepseek-r1
deepseek-r1+gemini-2.0-flash,Agent2,Guardian,NA,Emergency Rate,6,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.5-pro,Agent2,Guardian,NA,Emergency Rate,10,55,28.382,8.975,17.592,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro
deepseek-r1+gpt-4.1,Agent2,Guardian,NA,Emergency Rate,1,0,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gpt-4.1
deepseek-r1+gpt-5,Agent2,Guardian,NA,Emergency Rate,1,50,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gpt-5
deepseek-r1+gpt-5-mini,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gpt-5-mini
deepseek-r1+llama-4-maverick,Agent2,Guardian,NA,Emergency Rate,10,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-scout,Agent2,Guardian,NA,Emergency Rate,2,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout
deepseek-r1+o3-mini,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+o3-mini
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Guardian,NA,Emergency Rate,9,5.556,16.667,5.556,10.889,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+deepseek-r1,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+deepseek-r1
gemini-2.0-flash+gemini-2.0-flash,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.0-flash
gemini-2.0-flash+gemini-2.5-pro,Agent2,Guardian,NA,Emergency Rate,3,50,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro
gemini-2.0-flash+gpt-4.1,Agent2,Guardian,NA,Emergency Rate,3,66.667,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gpt-4.1
gemini-2.0-flash+gpt-5,Agent2,Guardian,NA,Emergency Rate,3,16.667,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gpt-5
gemini-2.0-flash+gpt-5-mini,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gpt-5-mini
gemini-2.0-flash+llama-4-maverick,Agent2,Guardian,NA,Emergency Rate,5,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-scout,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+o3-mini,Agent2,Guardian,NA,Emergency Rate,5,10,22.361,10,19.6,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.5-pro+deepseek-r1,Agent2,Guardian,NA,Emergency Rate,3,66.667,57.735,33.333,65.333,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+deepseek-r1
gemini-2.5-pro+gemini-2.0-flash,Agent2,Guardian,NA,Emergency Rate,3,83.333,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gemini-2.0-flash
gemini-2.5-pro+gemini-2.5-pro,Agent2,Guardian,NA,Emergency Rate,3,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gemini-2.5-pro
gemini-2.5-pro+gpt-4.1,Agent2,Guardian,NA,Emergency Rate,5,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-5,Agent2,Guardian,NA,Emergency Rate,3,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5
gemini-2.5-pro+gpt-5-mini,Agent2,Guardian,NA,Emergency Rate,10,70,25.82,8.165,16.003,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini
gemini-2.5-pro+llama-4-maverick,Agent2,Guardian,NA,Emergency Rate,3,83.333,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+llama-4-maverick
gemini-2.5-pro+llama-4-scout,Agent2,Guardian,NA,Emergency Rate,3,83.333,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+llama-4-scout
gemini-2.5-pro+o3-mini,Agent2,Guardian,NA,Emergency Rate,3,83.333,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+o3-mini
gpt-4.1+claude-3.7-sonnet,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+claude-3.7-sonnet
gpt-4.1+deepseek-r1,Agent2,Guardian,NA,Emergency Rate,2,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+deepseek-r1
gpt-4.1+gemini-2.0-flash,Agent2,Guardian,NA,Emergency Rate,3,16.667,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gemini-2.0-flash
gpt-4.1+gemini-2.5-pro,Agent2,Guardian,NA,Emergency Rate,3,50,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gemini-2.5-pro
gpt-4.1+gpt-4.1,Agent2,Guardian,NA,Emergency Rate,3,66.667,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gpt-4.1
gpt-4.1+gpt-5,Agent2,Guardian,NA,Emergency Rate,3,0,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gpt-5
gpt-4.1+gpt-5-mini,Agent2,Guardian,NA,Emergency Rate,3,16.667,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+gpt-5-mini
gpt-4.1+llama-4-maverick,Agent2,Guardian,NA,Emergency Rate,3,16.667,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1+llama-4-maverick
